Sr No.,Iphone Product,Price,Rating
1,"APPLE iPhone SE (Black, 64 GB)","₹27,999",4.5
2,"APPLE iPhone SE (White, 64 GB)","₹27,999",4.5
3,"APPLE iPhone SE (Red, 64 GB)","₹27,999",4.5
4,"APPLE iPhone 12 (Blue, 128 GB)","₹61,999",4.7
5,"APPLE iPhone 12 (Black, 64 GB)","₹55,999",4.7
6,"APPLE iPhone 12 Mini (Blue, 128 GB)","₹49,999",4.5
7,"APPLE iPhone 12 Mini (Black, 64 GB)","₹44,999",4.5
8,"APPLE iPhone 12 Mini (Red, 128 GB)","₹49,999",4.5
9,"APPLE iPhone SE (Black, 128 GB)","₹32,999",4.5
10,"APPLE iPhone 12 Mini (White, 64 GB)","₹44,999",4.5
11,"APPLE iPhone SE (Red, 128 GB)","₹32,999",4.5
12,"APPLE iPhone 12 (Red, 128 GB)","₹61,999",4.7
13,"APPLE iPhone 12 Mini (Blue, 64 GB)","₹44,999",4.5
14,"APPLE iPhone 12 (Red, 64 GB)","₹55,999",4.7
15,"APPLE iPhone 12 Mini (Black, 128 GB)","₹49,999",4.5
16,"APPLE iPhone 12 Mini (Black, 256 GB)","₹59,999",4.5
17,"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900",4.7
18,"APPLE iPhone SE (Red, 256 GB)","₹42,999",4.5
19,"APPLE iPhone 12 Mini (Blue, 256 GB)","₹59,999",4.5
20,"APPLE iPhone 12 Mini (White, 256 GB)","₹59,999",4.5
21,"APPLE iPhone 12 Mini (Green, 256 GB)","₹59,999",4.5
22,"APPLE iPhone 11 (Yellow, 64 GB)","₹49,900",4.6
23,"APPLE iPhone 11 (Black, 64 GB)","₹49,900",4.6
24,"APPLE iPhone 13 Pro Max (Graphite, 256 GB)","₹1,39,900",4.7
